"Link Immagine";"Opera";"Località";"Ubicazione";"Anno collocamento";
"4|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/4.pdf";"Busto a Ubaldo Comandini";"CESENA";"c/o Giardini Pubblici  Verdi";;
"50|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/50.pdf";"Lapide e Fregio a S.S.Papa Clemente XIV";"CESENA";"Ponte Vecchio - c/o colonna dx lato Cesena";1.753;
"51|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/51.pdf";"Lapide e Fregio a S.S.Papa Clemente XIV";"CESENA";"Ponte Vecchio - c/o colonna sx lato Cesena";1.753;
"52|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/52.pdf";"Lapide Acquedotto";"CESENA";"Piazza del Popolo - c/o Scala del Nuti";1.768;
"53|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/53.pdf";"Lapide a Vitaliano Borromeo";"CESENA";"Ponte Vecchio - c/o colonna dx  lato S. Mauro";1.773;
"54|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/54.pdf";"Lapide a Maurizio Bufalini Casa Natale";"CESENA";"Piazza Bufalini angolo via Masini";1.787;
"55|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/55.pdf";"Lapide e fregi a S.S Papa PioVI";"CESENA";"Galleria Almerici";1.790;
"56|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/56.pdf";"Lapide a Camillo Benso Cavour";"CESENA";"Corso  Sozzi- c/o Fabbricato Barriera (cv. 85)";1.864;
"57|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/57.pdf";"Busto e lapide a Giuseppe Garibaldi";"CESENA";"Piazza del Popolo - loggiato com.le (cv. 16)";1.883;
"58|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/58.pdf";"Lapide a Giuseppe Garibaldi Casa";"CESENA";"Corso Ubaldo Comandini (cv. 3)";1.883;
"59|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/59.pdf";"Monumento a Maurizio Bufalini";"CESENA";"Piazza Bufalini";1.883;
"5|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/5.pdf";"Busto al Dott.Vincenzo Ricci";"BORELLO";"Piazza S. Pietro in Solfrino - c/o area verde";;
"60|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/60.pdf";"Lapide a Federico Campanella";"BORELLO";"Piazza Indipendenza (cv. 2)";1.887;
